"cast_id","cast_name","gender","movie_id","k_role","is_main_cast","index","id","k_title","k_type","k_release_date","k_region","k_movie_year","k_genres","is_rating","rating_num","rating_people","k_rating_people","rating_index","k_movie_id","k_cast_id","uid","portray"
"27504421","黄轩","男","34792296","演员","是","1","34792296","欢迎光临","电视剧","2022-05-18","中国大陆","2022","剧情/喜剧/爱情","有评分","6.4","56516","56516","601","69584641","55008891","130","张光正"
"27552918","魏玉海","男","26759908","动作指导","否","999","26759908","清平乐","电视剧","2020-04-07","中国大陆","2020","剧情/古装","有评分","6.4","173456","173456","1054","53519865","55105885","131",
"27552918","魏玉海","男","26665065","动作导演","否","999","26665065","琅琊榜之风起长林","电视剧","2017-12-18","中国大陆","2017","剧情/古装","有评分","8.4","210088","210088","1328","53330179","55105885","132",
"27487208","任学海","男","30421903","演员","否","999","30421903","淬火年代","电视剧","2025-06-18","中国大陆","2025","剧情","有评分","7.0","21373","21373","387","60843855","54974465","133","张教授"
"27487208","任学海","男","26759908","演员","是","34","26759908","清平乐","电视剧","2020-04-07","中国大陆","2020","剧情/古装","有评分","6.4","173456","173456","1054","53519865","54974465","134","章得象"
"27538976","吴越","女","35613241","演员","是","2","35613241","县委大院","电视剧","2022-12-07","中国大陆","2022","剧情","有评分","6.8","109693","109693","864","71226531","55078001","135","艾鲜枝"
"27538976","吴越","女","26759908","演员","是","10","26759908","清平乐","电视剧","2020-04-07","中国大陆","2020","剧情/古装","有评分","6.4","173456","173456","1054","53519865","55078001","136","刘娥"
"27503656","叶祖新","男","26759908","演员","是","6","26759908","清平乐","电视剧","2020-04-07","中国大陆","2020","剧情/古装","有评分","6.4","173456","173456","1054","53519865","55007361","137","张茂则"
"27483661","江疏影","女","26779426","演员","是","1","26779426","欢乐颂3","电视剧","2022-08-11","中国大陆","2022","剧情/爱情","有评分","4.9","41716","41716","452","53558901","54967371","138","叶蓁蓁"
"27483661","江疏影","女","26759908","演员","是","2","26759908","清平乐","电视剧","2020-04-07","中国大陆","2020","剧情/古装","有评分","6.4","173456","173456","1054","53519865","54967371","139","曹皇后曹丹姝"
"27546746","张雨剑","男","36571896","演员","是","13","36571896","命悬一生","电视剧","2025-10-11","中国大陆","2025","剧情/悬疑","有评分","7.7","85010","85010","809","73143841","55093541","140","张业务员"
