cast_id,cast_name,gender,movie_id,k_role,is_main_cast,index,id,k_title,k_type,k_release_date,k_region,k_movie_year,k_genres,is_rating,rating_num,rating_people,k_rating_people,rating_index,k_movie_id,k_cast_id,uid,portray,movie_id_m,cast_role_agg,main_cast
27559768,延翔,男,26345137,演员,是,22,26345137,如果蜗牛有爱情,电视剧,2016-10-24,中国大陆,2016,剧情/爱情/悬疑,有评分,7.2,105271,105271,871,52690323,55119585,63,陈勇,m52690323,演员,"王凯, 王子文, 徐悦, 于恒, 赵圆瑗"
27555038,许赢之,女,26759908,演员,否,999,26759908,清平乐,电视剧,2020-04-07,中国大陆,2020,剧情/古装,有评分,6.4,173456,173456,1054,53519865,55110125,64,薛幼溪,m53519865,演员,"王凯, 江疏影, 任敏, 杨玏, 边程"
27484696,褚峰,男,26759908,演员,是,23,26759908,清平乐,电视剧,2020-04-07,中国大陆,2020,剧情/古装,有评分,6.4,173456,173456,1054,53519865,54969441,65,任守忠,m53519865,演员,"王凯, 江疏影, 任敏, 杨玏, 边程"
27484691,李雅男,男,26759908,演员,是,22,26759908,清平乐,电视剧,2020-04-07,中国大陆,2020,剧情/古装,有评分,6.4,173456,173456,1054,53519865,54969431,66,富弼,m53519865,演员,"王凯, 江疏影, 任敏, 杨玏, 边程"
27499316,张棪琰,女,26928226,演员,是,43,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,54998681,67,康姨妈,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27499316,张棪琰,女,26665065,演员,是,20,26665065,琅琊榜之风起长林,电视剧,2017-12-18,中国大陆,2017,剧情/古装,有评分,8.4,210088,210088,1328,53330179,54998681,68,云姐,m53330179,演员,"黄晓明, 刘昊然, 佟丽娅, 张慧雯, 梅婷"
27499316,张棪琰,女,26345137,演员,是,7,26345137,如果蜗牛有爱情,电视剧,2016-10-24,中国大陆,2016,剧情/爱情/悬疑,有评分,7.2,105271,105271,871,52690323,54998681,69,噜哥,m52690323,演员,"王凯, 王子文, 徐悦, 于恒, 赵圆瑗"
27499316,张棪琰,女,25994712,演员,是,10,25994712,伪装者,电视剧,2015-08-31,中国大陆,2015,剧情/悬疑,有评分,8.6,382758,382758,1814,51989473,54998681,70,苏太太,m51989473,演员,"胡歌, 靳东, 刘敏涛, 王凯, 宋轶"
27499316,张棪琰,女,25754848,演员,是,8,25754848,琅琊榜,电视剧,2015-09-19,中国大陆,2015,剧情/古装,有评分,9.4,919060,919060,2939,51509745,54998681,71,莅阳长公主,m51509745,演员,"胡歌, 刘涛, 王凯, 陈龙, 黄维德"
27546798,张墨锡,女,26683725,演员,是,24,26683725,外科风云,电视剧,2017-04-17,中国大陆,2017,剧情/爱情,有评分,7.3,94754,94754,832,53367499,55093645,73,葛琳,m53367499,演员,"靳东, 白百何, 李佳航, 马少骅, 蓝盈莹"
27493032,章涛,男,34792296,演员,是,17,34792296,欢迎光临,电视剧,2022-05-18,中国大陆,2022,剧情/喜剧/爱情,有评分,6.4,56516,56516,601,69584641,54986113,74,蒋先生,m69584641,演员,"黄轩, 白百何, 朱雨辰, 白宇帆, 丁嘉丽"
